,Reason,Orders
0,Substantial Similarity,108
1,Access,97
2,Copyright Infringement — Elements,69
3,Foreign Respondent,53
4,Copyright Infringement — Substantial Similarity,41
5,Copyright Registration,41
6,Copyright Infringement — Access,40
7,Copyright Infringement Claim — Registration,38
8,Copyright Infringement — Infringing Activity,33
9,Infringing Activity,33
10,Copyright Infringement Claim — Elements,30
11,Copyright Infringement Claim — Substantial Similarity,29
12,Copyright Infringement Claim — Clarity,23
13,Legal or Beneficial Ownership,23
14,Copyright Infringement Claim — Access,23
15,Registration,17
16,Registration Number,17
17,Copyright Infringement Claim — Legal or Beneficial Ownership,17
18,Respondent Clarity,16
19,Improper Pleading Form,15
20,Permissible Claim,15
21,Relief Requested,14
22,Respondent Information,13
23,Impermissible Claim,12
24,Online Service Provider,11
25,Impermissible Claims,11
26,Misrepresentation — Elements,11
27,Legal and Beneficial Ownership,10
28,Infringing Activity — Clarity,10
29,Clarity — Allegedly Infringed Works,10
30,Copyright Infringement Claim — Online Service Provider,10
31,Proper Respondent,9
32,Respondent Address,9
33,Works Infringed — Clarity,9
34,Claimant Information,9
35,Supplemental Documentation,8
36,Work Infringed — Clarity,8
37,Authorized Representative,8
38,Clarity — Infringing Activity,7
39,Copyright Infringement — Legal or Beneficial Ownership,7
40,Copyright Infringement Claim — Infringing Activity,7
41,Copyright Infringement — Permissible Claim,6
42,Misrepresentation Claim — No misrepresentation,6
43,Misrepresentation Claim,6
44,Supplemental Documents,5
45,Copyright Infringement — Respondent Clarity,5
46,Clarity,5
47,Misrepresentation Claim — Proper Respondent,5
48,Misrepresentation Claim — No Misrepresentation,5
49,Misrepresentation Claim — Clarity,5
50,Relief Sought,5
51,Clarity — Allegedly Infringed Work,5
52,Copyright Infringement — Online Service Provider,5
53,Legal or Beneficial Owner,4
54,Allegedly Infringed Work,4
55,Condition Precedent to an Implied License,4
56,Issue — Copyright Infringement Claim — Clarity,4
57,Copyright Infringement — Ownership,4
58,Scope of an Implied License,4
59,Issue — Permissible Claim,4
60,Implied License,4
61,Infringed Works,4
62,Statute of Limitations,4
63,Copyright Infringement — Registration,4
64,Proper Claimant,3
65,Pleading Form,3
66,Copyright Ownership,3
67,Respondents — Clarity,3
68,Infringed Work,3
69,Author,3
70,Claimant Address,3
71,Designated Service Agent,3
72,Misrepresentation — Clarity,3
73,Allegedly Infringed Works — Clarity,3
74,Respondent Contact Information,3
75,Infringement — Online Service Provider,3
76,Improper Form,3
77,Infringement Claim — Access,3
78,Improper Relief Sought,3
79,Issue — Supplemental Documentation,3
80,Elements of an Implied License,3
81,Type of Work,2
82,Misrepresentation Claim — Respondent Clarity,2
83,Online Service Provider — Clarity,2
84,Issue — Copyright Infringement Claim — Permissible Remedies,2
